country	continent	year	pop	lifeExp	gdpPercap	color
Ecuador	Americas	1952	3548753	48.357	3522.110717	#EA5839
Niger	Africa	1952	3379468	37.444	761.879376	#C96C0C
Norway	Europe	1952	3327728	72.67	10095.42172	#BFE492
Haiti	Americas	1952	3201488	37.579	1840.366939	#EF623E
Guatemala	Americas	1952	3146381	42.023	2428.237769	#F46D43
Zimbabwe	Africa	1952	3080907	48.451	406.8841148	#CC6F0D
Cote d'Ivoire	Africa	1952	2977019	40.477	1388.594732	#D0730F
Ireland	Europe	1952	2952156	66.91	5210.280328	#C6E79C
Malawi	Africa	1952	2917802	36.256	369.1650802	#D37610
Bolivia	Americas	1952	2883315	40.414	2677.326347	#F57748
Bosnia and Herzegovina	Europe	1952	2791000	53.82	973.5331948	#CCE9A7
Senegal	Africa	1952	2755589	37.278	1450.356983	#D77911
Chad	Africa	1952	2682462	38.092	1178.665927	#DA7D12
Zambia	Africa	1952	2672000	42.038	1147.388831	#DE8013
Guinea	Africa	1952	2664249	33.609	510.1964923	#E18417
Rwanda	Africa	1952	2534927	40	493.3238752	#E3881D
Somalia	Africa	1952	2526994	32.978	1135.749842	#E58C23
Dominican Republic	Americas	1952	2491346	45.928	1397.717137	#F7824D
Burundi	Africa	1952	2445618	39.031	339.2964587	#E79029
Uruguay	Americas	1952	2252965	66.071	5716.766744	#F88D51
Puerto Rico	Americas	1952	2227000	64.28	3081.959785	#FA9856
Sierra Leone	Africa	1952	2143249	30.331	879.7877358	#EA952F
Hong Kong, China	Asia	1952	2125900	60.96	3054.421209	#BC9ECA
El Salvador	Americas	1952	2042865	45.262	3048.3029	#FBA35B
New Zealand	Oceania	1952	1994794	69.39	10556.57566	#4575B4
Benin	Africa	1952	1738315	38.223	1062.7522	#EC9936
Israel	Asia	1952	1620914	65.39	4086.522128	#C2A5CF
Paraguay	Americas	1952	1555876	62.649	1952.308701	#FDAE61
Honduras	Americas	1952	1517453	41.912	2194.926204	#FDB668
Slovenia	Europe	1952	1489518	65.57	4215.041741	#D2ECB1
Lebanon	Asia	1952	1439529	55.928	4834.804067	#C6AAD2
Eritrea	Africa	1952	1438760	35.928	328.9405571	#EE9D3C
Jamaica	Americas	1952	1426095	58.53	2898.530881	#FDBE70
Central African Republic	Africa	1952	1291695	35.463	1071.310713	#F1A142
Albania	Europe	1952	1282697	55.23	1601.056136	#D9EFBB
Togo	Africa	1952	1219113	38.596	859.8086567	#F3A548
Nicaragua	Americas	1952	1165790	42.314	3112.363948	#FDC778
Singapore	Asia	1952	1127000	60.396	2315.138227	#CBB0D5
West Bank and Gaza	Asia	1952	1030585	43.16	1515.592329	#CFB6D8
Mauritania	Africa	1952	1022556	40.543	743.1159097	#F5AA4E
Libya	Africa	1952	1019729	42.723	2387.54806	#F7AE55
Panama	Americas	1952	940080	55.191	2480.380334	#FDCF80
Costa Rica	Americas	1952	926317	57.206	2627.009471	#FDD788
Liberia	Africa	1952	863308	38.48	575.5729961	#FAB25B
Congo, Rep.	Africa	1952	854885	42.111	2125.621418	#FCB661
Mongolia	Asia	1952	800663	42.244	786.5668575	#D4BCDB
Lesotho	Africa	1952	748747	42.138	298.8462121	#FDBA67
Trinidad and Tobago	Americas	1952	662850	59.1	3023.271928	#FEE090
Jordan	Asia	1952	607914	43.158	1546.907807	#D9C2DE
Guinea-Bissau	Africa	1952	580653	32.5	299.850319	#FDBD6E
Mauritius	Africa	1952	516556	50.986	1967.955707	#FDC074
Oman	Asia	1952	507833	37.578	1828.230307	#DDC8E1
Namibia	Africa	1952	485831	41.725	2423.780443	#FDC37B
Botswana	Africa	1952	442308	47.622	851.2411407	#FDC681
Gabon	Africa	1952	420702	37.003	4293.476475	#FDCA88
Montenegro	Europe	1952	413834	59.164	2647.585601	#DFF2C5
Swaziland	Africa	1952	290243	41.407	1148.376626	#FDCD8E
Gambia	Africa	1952	284320	30	485.2306591	#FDD095
Reunion	Africa	1952	257700	52.724	2718.885295	#FDD39B
Equatorial Guinea	Africa	1952	216964	34.482	375.6431231	#FDD6A2
Kuwait	Asia	1952	160000	55.565	108382.3529	#E2CEE4
Comoros	Africa	1952	153936	40.715	1102.990936	#FDD9A8
Iceland	Europe	1952	147962	72.49	7267.688428	#E6F5D0
Bahrain	Asia	1952	120447	50.939	9867.084765	#E7D4E8
Djibouti	Africa	1952	63149	34.812	2669.529475	#FDDCAF
Sao Tome and Principe	Africa	1952	60011	46.471	879.5835855	#FEE0B6
China	Asia	1957	637408000	50.54896	575.9870009	#40004B
India	Asia	1957	4.09e+08	40.249	590.061996	#460552
United States	Americas	1957	171984000	69.49	14847.12712	#A50026
Japan	Asia	1957	91563009	65.5	4317.694365	#4D0A59
Indonesia	Asia	1957	90124000	39.918	858.9002707	#540F60
Germany	Europe	1957	71019069	69.1	10187.82665	#276419
Brazil	Americas	1957	65551171	53.285	2487.365989	#AD0826
United Kingdom	Europe	1957	51430000	70.42	11283.17795	#2C6A1A
Bangladesh	Asia	1957	51365468	39.348	661.6374577	#5B1567
Italy	Europe	1957	49182000	67.81	6248.656232	#31701B
Pakistan	Asia	1957	46679944	45.557	747.0835292	#611A6D
France	Europe	1957	44310863	68.93	8662.834898	#36771C
Nigeria	Africa	1957	37173340	37.802	1100.592563	#7F3B08
Mexico	Americas	1957	35015548	55.19	4131.546641	#B51026
Spain	Europe	1957	29841614	66.66	4564.80241	#3B7D1D
Vietnam	Asia	1957	28998543	42.887	676.2854478	#681F75
Poland	Europe	1957	28235346	65.77	4734.253019	#41831E
Philippines	Asia	1957	26072194	51.334	1547.944844	#6F247B
Turkey	Europe	1957	25670939	48.079	2218.754257	#468A1F
Thailand	Asia	1957	25041917	53.63	793.5774148	#762A83
Egypt	Africa	1957	25009741	44.444	1458.915272	#833D07
Ethiopia	Africa	1957	22815614	36.667	378.9041632	#873F07
Korea, Rep.	Asia	1957	22611552	52.681	1487.593537	#7A3288
Myanmar	Asia	1957	21731844	41.905	350	#7E3B8C
Iran	Asia	1957	19792000	47.181	3290.257643	#834492
Argentina	Americas	1957	19610538	64.399	6856.856212	#BE1826
Romania	Europe	1957	17829327	64.1	3943.370225	#4B9020
Canada	Americas	1957	17010154	69.96	12489.95006	#C62026
South Africa	Africa	1957	16151549	47.985	5487.104219	#8B4107
Congo, Dem. Rep.	Africa	1957	15577932	40.652	905.8602303	#8F4407
Colombia	Americas	1957	14485993	55.118	2323.805581	#CE2726
Morocco	Africa	1957	11406350	45.423	1642.002314	#934607
Netherlands	Europe	1957	11026383	72.99	11276.19344	#529624
Algeria	Africa	1957	10270856	45.685	3013.976023	#974807
Taiwan	Asia	1957	10164215	62.4	1507.86129	#905EA1
Hungary	Europe	1957	9839000	66.41	6040.180011	#599C28
Sudan	Africa	1957	9753392	39.624	1770.337074	#9B4A06
Australia	Oceania	1957	9712569	70.33	10949.64959	#313695
Nepal	Asia	1957	9682338	37.686	597.9363558	#874D96
Czech Republic	Europe	1957	9513758	69.03	8256.343918	#5FA12D
Tanzania	Africa	1957	9452826	42.974	698.5356073	#9F4D06
Korea, Dem. Rep.	Asia	1957	9411381	54.081	1571.134655	#8B559B
Afghanistan	Asia	1957	9240934	30.332	820.8530296	#9467A5
Peru	Americas	1957	9146100	46.263	4245.256698	#D73027
Sri Lanka	Asia	1957	9128546	61.456	1072.546602	#9970AB
Belgium	Europe	1957	8989111	69.24	9714.960623	#66A731
Portugal	Europe	1957	8817650	61.51	3774.571743	#6DAD35
Greece	Europe	1957	8096218	67.86	4916.299889	#74B33A
Malaysia	Asia	1957	7739235	52.102	1810.066992	#9E76AF
Bulgaria	Europe	1957	7651254	66.61	3008.670727	#7BB93E
Kenya	Africa	1957	7454779	44.686	944.4383152	#A34F06
Sweden	Europe	1957	7363802	72.49	9911.878226	#82BE45
Serbia	Europe	1957	7271135	61.685	4981.090891	#92C858
Chile	Americas	1957	7048426	56.074	4315.622723	#DB3A2B
Mozambique	Africa	1957	7038035	33.779	495.5868333	#A75106
Austria	Europe	1957	6965860	67.48	8842.59803	#8AC34F
Venezuela	Americas	1957	6702668	57.907	9802.466526	#E54E35
Uganda	Africa	1957	6675501	42.571	774.3710692	#AB5406
Cuba	Americas	1957	6640752	62.325	6092.174359	#E04430
Ghana	Africa	1957	6391288	44.779	1043.561537	#AF5606
Iraq	Asia	1957	6248643	48.437	6229.333562	#A37DB3
Yemen, Rep.	Asia	1957	5498090	33.97	804.8304547	#A883B8
Cameroon	Africa	1957	5359923	40.428	1313.048099	#B35806
Cambodia	Asia	1957	5322536	41.366	434.0383364	#AD8ABD
Madagascar	Africa	1957	5181679	38.865	1589.20275	#B75C07
Switzerland	Europe	1957	5126000	70.56	17909.48973	#9ACD62
Burkina Faso	Africa	1957	4713416	34.906	617.1834648	#BA5F08
Angola	Africa	1957	4561361	31.999	3827.940465	#BE6209
Denmark	Europe	1957	4487831	71.81	11099.65935	#A2D26B
Saudi Arabia	Asia	1957	4419650	42.868	8157.591248	#B291C1
Finland	Europe	1957	4324000	67.49	7545.415386	#AAD875
Mali	Africa	1957	4241884	35.307	490.3821867	#C2650A
Syria	Asia	1957	4149908	48.284	2117.234893	#B797C6
Ecuador	Americas	1957	4058385	51.356	3780.546651	#EA5839
Croatia	Europe	1957	3991242	64.77	4338.231617	#B2DD7E
Tunisia	Africa	1957	3950849	47.1	1395.232468	#C5690B
Slovak Republic	Europe	1957	3844277	67.45	6093.26298	#B9E188
Niger	Africa	1957	3692184	38.598	835.5234025	#C96C0C
Zimbabwe	Africa	1957	3646340	50.469	518.7642681	#CC6F0D
Guatemala	Americas	1957	3640876	44.142	2617.155967	#F46D43
Haiti	Americas	1957	3507701	40.696	1726.887882	#EF623E
Norway	Europe	1957	3491938	73.44	11653.97304	#BFE492
Cote d'Ivoire	Africa	1957	3300000	42.469	1500.895925	#D0730F
Malawi	Africa	1957	3221238	37.207	416.3698064	#D37610
Bolivia	Americas	1957	3211738	41.89	2127.686326	#F57748
Bosnia and Herzegovina	Europe	1957	3076000	58.45	1353.989176	#CCE9A7
Senegal	Africa	1957	3054547	39.329	1567.653006	#D77911
Zambia	Africa	1957	3016000	44.077	1311.956766	#DE8013
Dominican Republic	Americas	1957	2923186	49.828	1544.402995	#F7824D
Chad	Africa	1957	2894855	39.881	1308.495577	#DA7D12
Ireland	Europe	1957	2878220	68.9	5599.077872	#C6E79C
Guinea	Africa	1957	2876726	34.558	576.2670245	#E18417
Rwanda	Africa	1957	2822082	41.5	540.2893983	#E3881D
Somalia	Africa	1957	2780415	34.977	1258.147413	#E58C23
Hong Kong, China	Asia	1957	2736300	64.75	3629.076457	#BC9ECA
Burundi	Africa	1957	2667518	40.533	379.5646281	#E79029
Uruguay	Americas	1957	2424959	67.044	6150.772969	#F88D51
El Salvador	Americas	1957	2355805	48.57	3421.523218	#FBA35B
Sierra Leone	Africa	1957	2295678	31.57	1004.484437	#EA952F
Puerto Rico	Americas	1957	2260000	68.54	3907.156189	#FA9856
New Zealand	Oceania	1957	2229407	70.26	12247.39532	#4575B4
Israel	Asia	1957	1944401	67.84	5385.278451	#C2A5CF
Benin	Africa	1957	1925173	40.358	959.6010805	#EC9936
Paraguay	Americas	1957	1770902	63.196	2046.154706	#FDAE61
Honduras	Americas	1957	1770390	44.665	2220.487682	#FDB668
Lebanon	Asia	1957	1647412	59.489	6089.786934	#C6AAD2
Eritrea	Africa	1957	1542611	38.047	344.1618859	#EE9D3C
Jamaica	Americas	1957	1535090	62.61	4756.525781	#FDBE70
Slovenia	Europe	1957	1533070	67.85	5862.276629	#D2ECB1
Albania	Europe	1957	1476505	59.28	1942.284244	#D9EFBB
Singapore	Asia	1957	1445929	63.179	2843.104409	#CBB0D5
Central African Republic	Africa	1957	1392284	37.464	1190.844328	#F1A142
Nicaragua	Americas	1957	1358828	45.432	3457.415947	#FDC778
Togo	Africa	1957	1357445	41.208	925.9083202	#F3A548
Libya	Africa	1957	1201578	45.289	3448.284395	#F7AE55
Costa Rica	Americas	1957	1112300	60.026	2990.010802	#FDD788
Mauritania	Africa	1957	1076852	42.338	846.1202613	#F5AA4E
West Bank and Gaza	Asia	1957	1070439	45.671	1827.067742	#CFB6D8
Panama	Americas	1957	1063506	59.201	2961.800905	#FDCF80
Liberia	Africa	1957	975950	39.486	620.9699901	#FAB25B
Congo, Rep.	Africa	1957	940458	45.053	2315.056572	#FCB661
Mongolia	Asia	1957	882134	45.248	912.6626085	#D4BCDB
Lesotho	Africa	1957	813338	45.047	335.9971151	#FDBA67
Trinidad and Tobago	Americas	1957	764900	61.8	4100.3934	#FEE090
Jordan	Asia	1957	746559	45.669	1886.080591	#D9C2DE
Mauritius	Africa	1957	609816	58.089	2034.037981	#FDC074
Guinea-Bissau	Africa	1957	601095	33.489	431.7904566	#FDBD6E
Oman	Asia	1957	561977	40.08	2242.746551	#DDC8E1
Namibia	Africa	1957	548080	45.226	2621.448058	#FDC37B
Botswana	Africa	1957	474639	49.618	918.2325349	#FDC681
Montenegro	Europe	1957	442829	61.448	3682.259903	#DFF2C5
Gabon	Africa	1957	434904	38.999	4976.198099	#FDCA88
Swaziland	Africa	1957	326741	43.424	1244.708364	#FDCD8E
Gambia	Africa	1957	323150	32.065	520.9267111	#FDD095
Reunion	Africa	1957	308700	55.09	2769.451844	#FDD39B
Equatorial Guinea	Africa	1957	232922	35.983	426.0964081	#FDD6A2
Kuwait	Asia	1957	212846	58.033	113523.1329	#E2CEE4
Comoros	Africa	1957	170928	42.46	1211.148548	#FDD9A8
Iceland	Europe	1957	165110	73.47	9244.001412	#E6F5D0
Bahrain	Asia	1957	138655	53.832	11635.79945	#E7D4E8
Djibouti	Africa	1957	71851	37.328	2864.969076	#FDDCAF
Sao Tome and Principe	Africa	1957	61325	48.945	860.7369026	#FEE0B6
China	Asia	1962	665770000	44.50136	487.6740183	#40004B
India	Asia	1962	4.54e+08	43.605	658.3471509	#460552
United States	Americas	1962	186538000	70.21	16173.14586	#A50026
Indonesia	Asia	1962	99028000	42.518	849.2897701	#540F60
Japan	Asia	1962	95831757	68.73	6576.649461	#4D0A59
Brazil	Americas	1962	76039390	55.665	3336.585802	#AD0826
Germany	Europe	1962	73739117	70.3	12902.46291	#276419
Bangladesh	Asia	1962	56839289	41.216	686.3415538	#5B1567
United Kingdom	Europe	1962	53292000	70.76	12477.17707	#2C6A1A
Pakistan	Asia	1962	53100671	47.67	803.3427418	#611A6D
Italy	Europe	1962	50843200	69.24	8243.58234	#31701B
France	Europe	1962	47124000	70.51	10560.48553	#36771C
Nigeria	Africa	1962	41871351	39.36	1150.927478	#7F3B08
Mexico	Americas	1962	41121485	58.299	4581.609385	#B51026
Vietnam	Asia	1962	33796140	45.363	772.0491602	#681F75
Spain	Europe	1962	31158061	69.69	5693.843879	#3B7D1D
Poland	Europe	1962	30329617	67.64	5338.752143	#41831E
Philippines	Asia	1962	30325264	54.757	1649.552153	#6F247B
Turkey	Europe	1962	29788695	52.098	2322.869908	#468A1F
Thailand	Asia	1962	29263397	56.061	1002.199172	#762A83
Egypt	Africa	1962	28173309	46.992	1693.335853	#833D07
Korea, Rep.	Asia	1962	26420307	55.292	1536.344387	#7A3288
Ethiopia	Africa	1962	25145372	40.059	419.4564161	#873F07
Myanmar	Asia	1962	23634436	45.108	388	#7E3B8C
Iran	Asia	1962	22874000	49.325	4187.329802	#834492
Argentina	Americas	1962	21283783	65.142	7133.166023	#BE1826
Canada	Americas	1962	18985849	71.3	13462.48555	#C62026
Romania	Europe	1962	18680721	66.8	4734.997586	#4B9020
South Africa	Africa	1962	18356657	49.951	5768.729717	#8B4107
Congo, Dem. Rep.	Africa	1962	17486434	42.122	896.3146335	#8F4407
Colombia	Americas	1962	17009885	57.863	2492.351109	#CE2726
Morocco	Africa	1962	13056604	47.924	1566.353493	#934607
Taiwan	Asia	1962	11918938	65.2	1822.879028	#905EA1
Netherlands	Europe	1962	11805689	73.23	12790.84956	#529624
Sudan	Africa	1962	11183227	40.87	1959.593767	#9B4A06
Algeria	Africa	1962	11000948	48.303	2550.81688	#974807
Korea, Dem. Rep.	Asia	1962	10917494	56.656	1621.693598	#8B559B
Tanzania	Africa	1962	10863958	44.246	722.0038073	#9F4D06
Australia	Oceania	1962	10794968	70.93	12217.22686	#313695
Peru	Americas	1962	10516500	49.096	4957.037982	#D73027
Sri Lanka	Asia	1962	10421936	62.192	1074.47196	#9970AB
Nepal	Asia	1962	10332057	39.393	652.3968593	#874D96
Afghanistan	Asia	1962	10267083	31.997	853.10071	#9467A5
Hungary	Europe	1962	10063000	67.96	7550.359877	#599C28
Czech Republic	Europe	1962	9620282	69.9	10136.86713	#5FA12D
Belgium	Europe	1962	9218400	70.25	10991.20676	#66A731
Portugal	Europe	1962	9019800	64.39	4727.954889	#6DAD35
Malaysia	Asia	1962	8906385	55.737	2036.884944	#9E76AF
Kenya	Africa	1962	8678557	47.949	896.9663732	#A34F06
Greece	Europe	1962	8448233	69.51	6017.190733	#74B33A
Venezuela	Americas	1962	8143375	60.77	8422.974165	#E54E35
Bulgaria	Europe	1962	8012946	69.51	4254.337839	#7BB93E
Chile	Americas	1962	7961258	57.924	4519.094331	#DB3A2B
Mozambique	Africa	1962	7788944	36.161	556.6863539	#A75106
Uganda	Africa	1962	7688797	45.344	767.2717398	#AB5406
Serbia	Europe	1962	7616060	64.531	6289.629157	#92C858
Sweden	Europe	1962	7561588	73.37	12329.44192	#82BE45
Ghana	Africa	1962	7355248	46.452	1190.041118	#AF5606
Cuba	Americas	1962	7254373	65.246	5180.75591	#E04430
Iraq	Asia	1962	7240260	51.457	8341.737815	#A37DB3
Austria	Europe	1962	7129864	69.54	10750.72111	#8AC34F
Yemen, Rep.	Asia	1962	6120081	35.18	825.6232006	#A883B8
Cambodia	Asia	1962	6083619	43.415	496.9136476	#AD8ABD
Cameroon	Africa	1962	5793633	42.643	1399.607441	#B35806
Madagascar	Africa	1962	5703324	40.848	1643.38711	#B75C07
Switzerland	Europe	1962	5666000	71.32	20431.0927	#9ACD62
Saudi Arabia	Asia	1962	4943029	45.914	11626.41975	#B291C1
Burkina Faso	Africa	1962	4919632	37.814	722.5120206	#BA5F08
Syria	Asia	1962	4834621	50.305	2193.037133	#B797C6
Angola	Africa	1962	4826015	34	4269.276742	#BE6209
Mali	Africa	1962	4690372	36.936	496.1743428	#C2650A
Ecuador	Americas	1962	4681707	54.64	4086.114078	#EA5839
Denmark	Europe	1962	4646899	72.35	13583.31351	#A2D26B
Finland	Europe	1962	4491443	68.75	9371.842561	#AAD875
Tunisia	Africa	1962	4286552	49.579	1660.30321	#C5690B
Zimbabwe	Africa	1962	4277736	52.358	527.2721818	#CC6F0D
Slovak Republic	Europe	1962	4237384	70.33	7481.107598	#B9E188
Guatemala	Americas	1962	4208858	46.954	2750.364446	#F46D43
Croatia	Europe	1962	4076557	67.13	5477.890018	#B2DD7E
Niger	Africa	1962	4076008	39.487	997.7661127	#C96C0C
Haiti	Americas	1962	3880130	43.59	1796.589032	#EF623E
Cote d'Ivoire	Africa	1962	3832408	44.93	1728.869428	#D0730F
Norway	Europe	1962	3638919	73.47	13450.40151	#BFE492
Malawi	Africa	1962	3628608	38.41	427.9010856	#D37610
Bolivia	Americas	1962	3593918	43.428	2180.972546	#F57748
Dominican Republic	Americas	1962	3453434	53.459	1662.137359	#F7824D
Senegal	Africa	1962	3430243	41.454	1654.988723	#D77911
Zambia	Africa	1962	3421000	46.023	1452.725766	#DE8013
Bosnia and Herzegovina	Europe	1962	3349000	61.93	1709.683679	#CCE9A7
Hong Kong, China	Asia	1962	3305200	67.65	4692.648272	#BC9ECA
Chad	Africa	1962	3150417	41.716	1389.817618	#DA7D12
Guinea	Africa	1962	3140003	35.753	686.3736739	#E18417
Somalia	Africa	1962	3080153	36.981	1369.488336	#E58C23
Rwanda	Africa	1962	3051242	43	597.4730727	#E3881D
Burundi	Africa	1962	2961915	42.045	355.2032273	#E79029
Ireland	Europe	1962	2830000	70.29	6631.597314	#C6E79C
El Salvador	Americas	1962	2747687	52.307	3776.803627	#FBA35B
Uruguay	Americas	1962	2598466	68.253	5603.357717	#F88D51
New Zealand	Oceania	1962	2488550	71.24	13175.678	#4575B4
Sierra Leone	Africa	1962	2467895	32.767	1116.639877	#EA952F
Puerto Rico	Americas	1962	2448046	69.62	5108.34463	#FA9856
Israel	Asia	1962	2310904	69.39	7105.630706	#C2A5CF
Benin	Africa	1962	2151895	42.618	949.4990641	#EC9936
Honduras	Americas	1962	2090162	48.041	2291.156835	#FDB668
Paraguay	Americas	1962	2009813	64.361	2148.027146	#FDAE61
Lebanon	Asia	1962	1886848	62.094	5714.560611	#C6AAD2
Singapore	Asia	1962	1750200	65.798	3674.735572	#CBB0D5
Albania	Europe	1962	1728137	64.82	2312.888958	#D9EFBB
Eritrea	Africa	1962	1666618	40.158	380.9958433	#EE9D3C
Jamaica	Americas	1962	1665128	65.61	5246.107524	#FDBE70
Nicaragua	Americas	1962	1590597	48.632	3634.364406	#FDC778
Slovenia	Europe	1962	1582962	69.15	7402.303395	#D2ECB1
Togo	Africa	1962	1528098	43.922	1067.53481	#F3A548
Central African Republic	Africa	1962	1523478	39.475	1193.068753	#F1A142
Libya	Africa	1962	1441863	47.808	6757.030816	#F7AE55
Costa Rica	Americas	1962	1345187	62.842	3460.937025	#FDD788
Panama	Americas	1962	1215725	61.817	3536.540301	#FDCF80
Mauritania	Africa	1962	1146757	44.248	1055.896036	#F5AA4E
West Bank and Gaza	Asia	1962	1133134	48.127	2198.956312	#CFB6D8
Liberia	Africa	1962	1112796	40.502	634.1951625	#FAB25B
Congo, Rep.	Africa	1962	1047924	48.435	2464.783157	#FCB661
Mongolia	Asia	1962	1010280	48.251	1056.353958	#D4BCDB
Jordan	Asia	1962	933559	48.126	2348.009158	#D9C2DE
Lesotho	Africa	1962	893143	47.747	411.8006266	#FDBA67
Trinidad and Tobago	Americas	1962	887498	64.9	4997.523971	#FEE090
Mauritius	Africa	1962	701016	60.246	2529.067487	#FDC074
Oman	Asia	1962	628164	43.165	2924.638113	#DDC8E1
Guinea-Bissau	Africa	1962	627820	34.488	522.0343725	#FDBD6E
Namibia	Africa	1962	621392	48.386	3173.215595	#FDC37B
Botswana	Africa	1962	512764	51.52	983.6539764	#FDC681
Montenegro	Europe	1962	474528	63.728	4649.593785	#DFF2C5
Gabon	Africa	1962	455661	40.489	6631.459222	#FDCA88
Gambia	Africa	1962	374020	33.896	599.650276	#FDD095
Swaziland	Africa	1962	370006	44.992	1856.182125	#FDCD8E
Reunion	Africa	1962	358900	57.666	3173.72334	#FDD39B
Kuwait	Asia	1962	358266	60.47	95458.11176	#E2CEE4
Equatorial Guinea	Africa	1962	249220	37.485	582.8419714	#FDD6A2
Comoros	Africa	1962	191689	44.467	1406.648278	#FDD9A8
Iceland	Europe	1962	182053	73.68	10350.15906	#E6F5D0
